RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
109,Jalen Johnson,Atl,F,20.5,2,4.6,9.6,20,25,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,123.5
110,Nikola Jokic,Den,C,27.32,5,34.2,71.3,36.8,16.6,33,0.848,88,0.636,18,0.278,0.599,0.643,31,13.2,23.9,5.8,36.5,1.6,1,4.8,15.6,116,98.4
111,Derrick Jones Jr.,Chi,F,25.33,5,11.8,24.6,15.8,14.1,3,0.667,6,0.667,11,0.273,0.5,0.519,3.8,1.4,5.9,0.4,5.3,0.2,0,0.6,4.4,99.5,104.8
112,Herbert Jones,Nor,F,23.7,6,37.7,78.5,11.7,13,22,0.773,32,0.5,12,0.417,0.534,0.596,10.7,3.3,5.2,1.8,6.8,1.83,0.83,1.33,4.2,117.9,106.9
113,Tyus Jones,Mem,G,26.1,12,21.9,45.5,18.5,11,15,0.933,54,0.389,45,0.4,0.485,0.521,9.2,3.3,7.9,4.5,30.3,1.17,0.17,1.08,9.4,116.1,109.4
114,DeAndre Jordan,Phi,C,33.9,3,10.2,21.3,10.7,28.6,0,0,5,1,0,0,1,1,3.3,2.3,14,0.3,5.5,0,0.67,0.67,5.2,133.1,100.4
115,Maxi Kleber,Dal,F,30.38,18,25.4,52.8,13.1,8.7,21,0.714,28,0.714,78,0.436,0.67,0.681,8.7,4.6,10.5,1.1,6.9,0.22,0.83,0.61,5.6,130.5,102.3
116,Kevin Knox II,Atl,F,22.85,2,4.6,9.6,74.4,20.2,2,1,1,1,10,0.6,0.909,0.926,11,1,13.1,0,0,1,0,1.5,0,1019.8,103.9
117,John Konchar,Mem,G,26.24,8,7,14.5,9.5,7.8,2,1,5,0.4,6,0.167,0.318,0.379,1.1,2.4,18,0.6,11.6,0.38,0.13,0.13,6.7,104.4,94.8
118,Furkan Korkmaz,Phi,G-F,24.9,9,6.8,14.2,19.8,7.7,2,1,13,0.538,10,0.4,0.565,0.586,3.1,1.3,11.9,0.4,11.3,0.11,0.11,0.22,6.9,113.1,101.8
119,Luke Kornet,Bos,F-C,26.92,10,2,4.1,11.5,20,0,0,3,0.667,1,1,0.875,0.875,0.7,0.5,14.4,0.1,8.3,0,0,0.1,6.5,,
